TeamName,StoryPts,Deployed,Priority,LeadTime
FJORD,2,TRUE,3,22.06694325
CONFIG,,TRUE,3,22.04050856
YELLOWSTON,5,TRUE,3,22.01557284
YELLOWSTON,3,TRUE,3,22.01418851
ODYSSEY,3,TRUE,1,22.01395954
ASSESS,0,TRUE,3,21.99474167
ASSESS,,TRUE,3,21.97810571
ASSESS,5,FALSE,3,21.94634641
ASSESS,,TRUE,3,21.93159699
YELLOWSTON,3,TRUE,3,21.90439317
YELLOWSTON,3,TRUE,3,21.90223407
ODYSSEY,1,TRUE,3,21.86168059
ACADIA,5,TRUE,3,21.82973356
ODYSSEY,3,TRUE,1,21.81138727
